id,text
1,"Аби болото, а жаби будуть"
2,Аби душа сита та тіло не наго
3,Аби кінці з кінцями позводить
4,Аби пень через колоду
5,Аби пшоно – каша буде
6,"Аби хліб, а зуби найдуться"
7,"Або вішайте, або пускайте"
8,"Або пан, або пропав"
9,"Або рибку ззісти, або на дно сісти"
10,"Адам ззів кисличку, а у нас оскома на губах"
11,Аж за шкуру снігом сипнуло
12,Аж очі йому рогом лізуть
13,Аж сорочка пополотніла
14,Аж у животі похолонуло
15,"Аж, шкура труситься (болить)"
16,Але ж дався він у знаки
17,Амінь тобі буде
18,Ані лялечки не видно
19,"Ані нам, ані вам"
20,"Ані я в’ївся, ані я впився"
21,"Ану, ноги на плечі – та й чухрай"
22,Баба з воза – велика зрада: на возі легше – кобила рада
23,Баба з воза – кобилі легше
24,Бабина гривня – всім людям дивна
25,Багатий на лати та на дрібні сльози
26,"Багатий – маю дві стодолі: в одній мак, а в другій так"
27,"Багатий, як циган на блохи"
28,Багато води до моря уплине
29,"Багатого і серп голить, а убогого й бритва не хоче"
30,Багатому й чорт гроші носить
31,Багатому й чорт яйце несе
32,"Багатому чорт діти колише, а убогий і няньки не знайде"
33,"Багато, як трави"
34,"Багацько, як у голомозого чуприни"
35,"Ба, коли б то сліпий очі мав!"
36,"Бас гуде, скрипка грає, – Іван мовчить, та все знає"
37,Батьків хліб не навчить
38,Батога з піску не уплетеш
39,"Бачив і горох, і сочавицю"
40,"Бачили очі, що купували – їжте, хоч повилазьте"
41,"Бачить корова, що на повітці солома"
42,"Бачить під лісом, а не бачить під носом"
43,"Бачить, що в хижу, та дверей не знайде"
44,"Бачиш, не бачиш, а не бреши"
45,Без божої волі й волос з голови не спаде
46,Без Гриця і вода не освятиться
47,Без мастила нема діла
48,Без мила в душу лізе
49,Без мила голить
50,Без ножа ріже
51,Без огню пече
52,Без попа не розбереш
53,Без причини і смерти не буде
54,"Без хазяїна й двір плаче, а без хазяйки й хата"
55,Без хазяїна чужі руки – кочерга
56,Берега пустився
57,Береженого й бог береже (а небереженого й чорт не стереже)
58,"Бережи вуха, щоб не вкусила муха"
59,"Береться, наче не своїми руками"
60,"Бесіди багато, а розуму мало"
61,Б’ється сірою собакою – нічого не вдіє
62,"Била Хима Євдокима, пішла позивати, присудили Євдокиму ще Хими прохати"
63,Битому собаці кия не показуй
64,Біда біді на слободі
65,Біда біду гонить
66,"Біда біду перебуде – одна згине, десять буде"
67,"Біда за біду чіпляється, – як у ланцюзі кільце за кільце"
68,"Біда не дуда: як стане дуть, то аж сльози йдуть"
69,"Біда, та й за біду зачепилася"
70,"Біди ні продати, ні проміняти – й грім біди не заб’є"
71,"Бідному Савці нема долі ні на печі, ні на лавці: на печі печуть, а на лавці січуть"
72,Бідою біді не поможеш
73,"Біжить, мов з шибениці зірвався"
74,"Більше в нього розуму в п’яті, як у тебе в голові"
75,"Більше громада, як одна баба"
76,Більше разу не вмреш
77,"Більший чоловік громада, як пан"
78,"Більш будеш знати, менш будеш спати"
79,"Більш роби, та менш говори"
80,Біс та його діти панують в світі
81,Близько лікоть – та не вкусиш
82,"Блудливий, як лис, а харапудний, як заєць"
83,Бо благоденствує
84,"Бога взивай, а руки прикладай"
85,"Бог дав, бог і взяв"
86,"Богу молись, а до берега гребись"
87,"Богу молись, а сам стережись"
88,"Бог усе дає, як сам знає"
89,"Бог як схоче, то із грязи поставить у князі"
90,"Бодай тебе той знав був, що трясе очеретами"
91,"Боже поможи, а сам не лежи"
92,"Боїться, як чорт ладану"
93,"Болить бік дев’ятий рік, та не знаю, в котрім місці"
94,"Борода виросла, та ума не винесла"
95,"Борода до пояса, а розуму ні волоса"
96,"Борщ без каші удівець, а каша без борща – удова"
97,Борщ та каша – добрая паша
98,"Боятися попа, то у вівтар не йти"
99,"Брат братом, сват сватом, – а гроші не рідня"
100,"Брат мій, а хліб їж свій"
101,Брехали твого батька діти
102,Брехливу собаку дальше чути
103,Брехнею не виберешся
104,Брехнею недалеко зайдеш
105,Брехня покажеться
106,"Бреше, як шовком шиє"
107,"Був волом, та став козлом"
108,"Був кінь, та з’їздивсь"
109,"Був колись оріх, а тепер свистун"
110,"Був колись хазяїн, а тепер бовкуном ходить"
111,"Був мед, та гості попили"
112,"Був у Римі, та й папи не бачив"
113,"Бугай реве і ведмідь реве – хто кого дере, і чорт не розбере"
114,"Буде він тямив, доки буде жив"
115,"Буде добре, як мине зле"
116,Буде знати сьому масляну
117,"Буде знать, по чім в Тростянці гребінці"
118,Буде й на нашому тижню свято
119,Буде ще й батька женить
120,Будь мудрий: натягай маленьку латку на велику дірку
121,"Була б шия, а хомут буде"
122,"Були і в кози роги, та притерті"
123,"Були коралі, та пішли далі, були перли, та ся стерли"
124,Було та загуло
125,"Буряк не дурак: на дорозі не росте, а все в огороді"
126,"Б’юся, як риба об лід"
127,Б’ють і плакать не дають
128,"Валяється, як почка (нірка) в салі"
129,В болоті не без чорта
130,В гурті й куліш з кашею їсться
131,Вдар (товкни) у стіл – ножиці обізвуться
132,"Ведмідь який, а й то кільце в губу вправляють"
133,"Велика хмара, та малий дощ"
134,Велике дерево поволі росте
135,Велике диво – опеньки!
136,"Великий дуб, та дуплинастий"
137,"Великий дуб, та дуплинастий, порохнею напхатий"
138,"Великий рот у вола, а говорити не може"
139,Великий світ та нема де дітись
140,"Великий, як ломака, а дурний, як собака"
141,"Великий, як світ, а дурний, як кіт"
142,Великої кошари свиня
143,Великому велика й яма
144,Велик пень та дурень
145,"Величається, мов куций бик у череді"
146,"Величається, мов сучка в човні"
147,"Величається, як заєць хвостом"
148,"Величається, як чумацька воша"
149,"Вертиться, як муха в окропі"
150,"Вертиться, як оюн в ополонці"
151,"Вертиться, як сорока на тину"
152,Весна раз красна
153,"Вечір думає, а ранок ýмає"
154,"Взявся під боки, та й думає, що пан"
